# 2026-06-22 16:33:17
# 821f84810c7df91c69994d6e539338b1
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m; friction
0.000000000000000000e+00;-1.519161400468687795e+01;7.753667677371119282e+00;5.505083644503619977e-01;-2.528953082162245791e-01;4.599293450438413977e+00;2.914380629280556523e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
1.554062922601161245e-01;-1.505383314097029945e+01;7.825553345397160854e+00;4.284563379877810996e-01;-8.075877475815556039e-01;4.696735719508612128e+00;2.552253053440407982e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
3.274313588738531622e-01;-1.489215361056700893e+01;7.884310072603772035e+00;3.313348905100798047e-01;-3.237359137268246423e-01;4.789303646875449516e+00;1.169669895577856389e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
5.051909201571228580e-01;-1.472191598042462246e+01;7.935472665492762090e+00;2.552757312639923892e-01;-3.850846199111866985e-01;4.832522057574369256e+00;-3.605698001619841303e-02;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
6.845485463007707772e-01;-1.454700648759809667e+01;7.975169357735971687e+00;1.935463305345836438e-01;-3.030087402188688661e-01;4.831183628083245196e+00;1.240599697528777245e-01;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
8.661189941388662827e-01;-1.436800711892655968e+01;8.005616911715195627e+00;1.451576878480884125e-01;-2.600175878785375150e-01;4.835843928084653243e+00;6.447686570084169011e-01;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
1.051287443977474867e+00;-1.418418812542383733e+01;8.027931311623762056e+00;9.560604451539991833e-02;-2.815575898673809419e-01;4.860469948702363041e+00;1.331953402937606334e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
1.240280524044200972e+00;-1.399563339899806458e+01;8.040795970795691971e+00;3.973371228661241178e-02;-3.054436659198458970e-01;4.911988199750872752e+00;2.206864865724870395e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
1.433236633236598667e+00;-1.380268652127406348e+01;8.042683416484402770e+00;-2.013678115378627828e-02;-3.097081640662312507e-01;4.997927989727259934e+00;2.871934644864806874e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
1.630100952541754467e+00;-1.360607409593695216e+01;8.032727794025653623e+00;-8.101539991497447302e-02;-3.112264729073708214e-01;5.109799126032213756e+00;3.127709624404572342e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
1.831782180327667930e+00;-1.340567053851598267e+01;8.010062141282929815e+00;-1.455785546481447590e-01;-6.675236862615424593e-02;5.231792020217837624e+00;-7.444440126570502914e-01;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
2.037193078489349940e+00;-1.320189342926152776e+01;7.984206255541250741e+00;-2.238462013065859180e-01;-6.853546584744841796e-01;5.202481515226469178e+00;3.394087717090756406e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
2.251775135804257033e+00;-1.299510011857143610e+01;7.926917635595145839e+00;-3.175232134051597099e-01;-3.967685953608555138e-01;5.340639902329521682e+00;3.832458061410684014e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
2.471799754954156825e+00;-1.278890986342263858e+01;7.850129539423067904e+00;-3.890039571366110671e-01;-2.361412884442992133e-01;5.496262804587675355e+00;4.008164785964629218e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
2.695607357920761782e+00;-1.258355421569496002e+01;7.761141331822267730e+00;-4.222657769747281686e-01;-7.534227025425346835e-02;5.657121204568431594e+00;4.400161250038160610e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
2.921758534961492959e+00;-1.237760215247142348e+01;7.667717017369998445e+00;-4.267344124038284225e-01;2.835371240509959034e-01;5.830370795661976580e+00;5.403982012640342170e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
3.134886152208258281e+00;-1.217840641992865258e+01;7.591924924312525746e+00;-4.148612195256764501e-01;9.234605501013851137e-02;6.024674201556869058e+00;6.758432564025207867e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
3.339861930139780721e+00;-1.198545820630285696e+01;7.522743594481081431e+00;-3.903678906324328235e-01;3.327934259507089182e-02;6.250386322438197695e+00;6.898492068377362507e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
3.543756461511458955e+00;-1.179306404840680500e+01;7.455234573374674767e+00;-3.686197943453491388e-01;4.789539428780731356e-02;6.471511322297796909e+00;5.833166663819539188e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
3.787855482642882077e+00;-1.156187926686516754e+01;7.376889637987220638e+00;-3.506528935325745611e-01;-5.327739122546958778e-02;6.687914423801951003e+00;4.633157659804965078e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
4.024911801513559872e+00;-1.133835821255965115e+01;7.297933722447806915e+00;-3.269670462458768578e-01;1.190628323248028725e-01;6.850170650375060788e+00;2.273716376428630781e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
4.266943160153346959e+00;-1.110794008805230959e+01;7.223861686809920357e+00;-2.935468269777490868e-01;1.527578047339778200e-01;6.930040351019393086e+00;8.931731606871514684e-01;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
4.514537350455364972e+00;-1.086955762904373479e+01;7.156953643135508081e+00;-2.534617488063758972e-01;1.650882170065926247e-01;6.961878211933662186e+00;2.300721523539330238e-01;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
4.765531764839725959e+00;-1.062531524501989999e+01;7.099127577226593822e+00;-2.112109103204549421e-01;1.708136971527369208e-01;6.970167995686265883e+00;8.098940675008468038e-01;1.000000000000000000e+00;1.000000000000000000e+00;8.399999999999999689e-01
