# 2026-06-22 14:17:16
# 1510ce6c6246deb8b0e14c4524c24ea8
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m; friction
0.000000000000000000e+00;-1.524889010089145458e+01;7.808074462826144924e+00;5.505083644503619977e-01;-7.252683205965125834e-01;4.681556052323515793e+00;2.297237772422524138e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.699999999999999956e-01
1.767899485416654370e-01;-1.509268310365498600e+01;7.890863712851317935e+00;4.284563379877810996e-01;-6.184811677403632135e-01;4.767517610475711543e+00;2.217409021273331060e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.699999999999999956e-01
3.538691460751589579e-01;-1.492809644458002971e+01;7.956195740629813606e+00;3.313348905100798047e-01;-4.841394090591130683e-01;4.849179125004278390e+00;1.044154826535810709e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.699999999999999956e-01
5.316287073584285983e-01;-1.475785881443764325e+01;8.007358333518803661e+00;2.552757312639923892e-01;-3.850846199111866985e-01;4.887305514711647980e+00;-3.216988917445137708e-02;1.000000000000000000e+00;1.000000000000000000e+00;8.699999999999999956e-01
7.109863335020765174e-01;-1.458294932161111745e+01;8.047055025762013258e+00;1.935463305345836438e-01;-3.030087402188688661e-01;4.886124779845436805e+00;1.106809364430249576e-01;1.000000000000000000e+00;1.000000000000000000e+00;8.699999999999999956e-01
8.925567813401720230e-01;-1.440394995293958047e+01;8.077502579741237199e+00;1.451576878480884125e-01;-2.600175878785375150e-01;4.890236000298330943e+00;5.750128499203721599e-01;1.000000000000000000e+00;1.000000000000000000e+00;8.699999999999999956e-01
1.077725231178780607e+00;-1.422013095943685812e+01;8.099816979649803628e+00;9.560604451539991833e-02;-2.815575898673809419e-01;4.911960567301806968e+00;1.186674228281730192e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.699999999999999956e-01
1.266718311245506712e+00;-1.403157623301108536e+01;8.112681638821733543e+00;3.973371228661241178e-02;-3.054436659198458970e-01;4.957408904821694051e+00;1.962707657312504184e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.699999999999999956e-01
1.459674420437904185e+00;-1.383862935528708427e+01;8.114569084510444341e+00;-2.013678115378627828e-02;-3.097081640662312507e-01;5.033223213377261196e+00;2.547951539414651911e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.699999999999999956e-01
1.656538739743059985e+00;-1.364201692994997295e+01;8.104613462051695194e+00;-8.101539991497447302e-02;-3.112264729073708214e-01;5.131913620330967873e+00;2.767166549904716888e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.699999999999999956e-01
1.858219967528973449e+00;-1.344161337252900346e+01;8.081947809308971387e+00;-1.455785546481447590e-01;-3.469956348226387877e-01;5.239533233131009382e+00;3.043636788814086280e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.699999999999999956e-01
2.065480036022111499e+00;-1.323783626327454854e+01;8.044110978896286568e+00;-2.238462013065859180e-01;-4.107772109676771644e-01;5.358577912069579341e+00;3.397662837440316164e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.699999999999999956e-01
2.280062093337018592e+00;-1.303104295258445688e+01;7.986822358950181666e+00;-3.175232134051597099e-01;-3.967685953608555138e-01;5.492951137882137402e+00;3.830770582434757099e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.699999999999999956e-01
2.500086712486918383e+00;-1.282485269743565937e+01;7.910034262778103731e+00;-3.890039571366110671e-01;-2.361412884442992133e-01;5.644310398982533172e+00;4.000303436424970549e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.699999999999999956e-01
2.723894315453523340e+00;-1.261949704970798081e+01;7.821046055177303558e+00;-4.222657769747281686e-01;-7.534227025425346835e-02;5.800761719511761783e+00;4.384865718582249272e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.699999999999999956e-01
2.950045492494254518e+00;-1.241354498648444427e+01;7.727621740725034272e+00;-4.267344124038284225e-01;1.629487666426221795e-02;5.969264746465757554e+00;5.038403443789660763e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.699999999999999956e-01
3.177484310798990741e+00;-1.220607448068840029e+01;7.634431584074299337e+00;-4.148612195256764501e-01;8.479057123027697318e-02;6.158244771377228588e+00;6.007852318239999434e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.699999999999999956e-01
3.406518715348344273e+00;-1.199537158603417808e+01;7.544648241233833375e+00;-3.903678906324328235e-01;1.029805969785831804e-01;6.377772998535780502e+00;6.033855430029573697e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.699999999999999956e-01
3.637676717555811123e+00;-1.178062773210369052e+01;7.459096507273446974e+00;-3.686197943453491388e-01;8.450343794784070939e-02;6.592839779221144170e+00;6.032780752775665611e+00;1.000000000000000000e+00;1.000000000000000000e+00;8.699999999999999956e-01
